sku,url,price,shipping_price,quantity,shipping_days,supplier,variation,errors
sheva1,https://www.ebay.com/itm/402654711224,3.0,4.9,25,9days,Cripe Distributing,false,[]
sheva2,https://www.ebay.com/itm/394344586580,8.0,9.9,4,7days,Cripe Distributing,false,[]
sheva3,https://www.ebay.com/itm/394344586580,8.0,9.9,4,9days,Cripe Distributing,false,[]
sheva4,https://www.ebay.com/itm/403957859388,25.0,12.8,4,9days,Cripe Distributing,false,[]
sheva5,https://www.ebay.com/itm/394650685941,30.0,9.9,7,9days,Cripe Distributing,false,[]
sheva6,https://www.ebay.com/itm/394522752051,46.0,9.9,11,9days,Cripe Distributing,false,[]
sheva7,https://www.ebay.com/itm/394724328595,0,0,0,0days,{listing off},false,[]
sheva8,https://www.ebay.com/itm/165127589607,12.99,0.0,3,11days,Edmondson Supply,false,[]
sheva9,https://www.ebay.com/itm/165437121593,27.49,0.0,3,11days,Edmondson Supply,false,[]
sheva10,https://www.ebay.com/itm/384489936490,0,0,0,0days,{listing off},false,[]
sheva11,https://www.ebay.com/itm/295745453859,0,0,0,0days,{listing off},false,[]
sheva12,https://www.ebay.com/itm/161941161632,27.18,0.0,176,10days,ReVolt Supply,false,[]
sheva13,https://www.ebay.com/itm/385393414792,0,0,0,0days,{listing off},false,[]
sheva14,https://www.ebay.com/itm/401329505143,12.99,3.99,68,11days,goodplace2shop,false,[]
sheva15,https://www.ebay.com/itm/165544594627,0,0,0,0days,{listing off},false,[]
sheva16,https://www.ebay.com/itm/161941240335,249.0,0.0,613,11days,ReVolt Supply,false,[]
sheva17,https://www.ebay.com/itm/231536441979,9.49,5.9,4,7days,Lewis Contractor Sales,false,[]
sheva18,https://www.ebay.com/itm/172985964779,0,0,0,0days,{listing off},false,[]
sheva19,https://www.ebay.com/itm/175436181265,49.99,0.0,1,11days,Edmondson Supply,false,[]
sheva20,https://www.ebay.com/itm/275616349954,0,0,0,0days,{listing off},false,[]
sheva21,https://www.ebay.com/itm/385096150222,8.59,5.0,44,6days,Zoro Tools,false,[]
sheva22,https://www.ebay.com/itm/114578844387,45.35,0.0,3,5days,Express Tool Supply,false,[]
sheva23,https://www.ebay.com/itm/115714004879,15.98,0.0,7,9days,Express Tool Supply,false,[]
sheva24,https://www.ebay.com/itm/123011916635,8.99,0.0,21,10days,The Pond Company,false,[]
sheva25,https://www.ebay.com/itm/125087315155,41.99,0.0,18,10days,The Pond Company,false,[]
sheva26,https://www.ebay.com/itm/131497620835,9.39,3.59,68,11days,goodplace2shop,false,[]
sheva27,https://www.ebay.com/itm/143368960713,9.48,0.0,3,9days,JB Tool Sales,false,[]
sheva28,https://www.ebay.com/itm/143368976868,32.97,0.0,5,9days,JB Tool Sales,false,[]
sheva29,https://www.ebay.com/itm/143368978090,41.96,0.0,6,9days,JB Tool Sales,false,[]
sheva30,https://www.ebay.com/itm/143368979175,47.36,0.0,2,9days,JB Tool Sales,false,[]
sheva31,https://www.ebay.com/itm/143368983700,0,0,0,0days,{listing off},false,[]
sheva32,https://www.ebay.com/itm/144052115229,27.99,0.0,27,9days,JB Tool Sales,false,[]
sheva33,https://www.ebay.com/itm/144052118880,51.0,0.0,3,9days,JB Tool Sales,false,[]
sheva34,https://www.ebay.com/itm/144052138005,38.76,0.0,4,9days,JB Tool Sales,false,[]
sheva35,https://www.ebay.com/itm/144052142960,105.0,0.0,6,7days,JB Tool Sales,false,[]
sheva36,https://www.ebay.com/itm/144771535686,66.86,0.0,3,9days,JB Tool Sales,false,[]
sheva37,https://www.ebay.com/itm/154746521128,53.99,0.0,7,11days,Edmondson Supply,false,[]
sheva38,https://www.ebay.com/itm/195419303095,37.97,0.0,3,9days,JB Tool Sales,false,[]
sheva39,https://www.ebay.com/itm/195349147626,11.3,0.0,6,7days,JB Tool Sales,false,[]
sheva40,https://www.ebay.com/itm/195349151670,0,0,0,0days,{listing off},false,[]
sheva41,https://www.ebay.com/itm/234723366582,44.99,8.45,4,7days,Lewis Contractor Sales,false,[]
sheva42,https://www.ebay.com/itm/162135549413,11.5,0.0,2991,11days,ReVolt Supply,false,[]
sheva43,https://www.ebay.com/itm/163455559683,9.99,0.0,7,11days,Edmondson Supply,false,[]
sheva44,https://www.ebay.com/itm/164285372360,22.5,0.0,5,11days,Edmondson Supply,false,[]
sheva45,https://www.ebay.com/itm/165033746243,31.79,0.0,7,11days,Edmondson Supply,false,[]
sheva46,https://www.ebay.com/itm/165177164602,46.99,0.0,2,11days,Edmondson Supply,false,[]
sheva47,https://www.ebay.com/itm/165248889429,56.99,0.0,8,11days,Edmondson Supply,false,[]
sheva48,https://www.ebay.com/itm/165281996796,63.95,0.0,5,11days,Edmondson Supply,false,[]
sheva49,https://www.ebay.com/itm/165309327927,8.05,0.0,4,11days,Edmondson Supply,false,[]
sheva50,https://www.ebay.com/itm/165361833692,24.99,0.0,6,11days,Edmondson Supply,false,[]
sheva51,https://www.ebay.com/itm/165378131739,22.69,0.0,6,11days,Edmondson Supply,false,[]
sheva52,https://www.ebay.com/itm/165476908151,0,0,0,0days,{listing off},false,[]
sheva53,https://www.ebay.com/itm/165483879575,0,0,0,0days,{listing off},false,[]
sheva54,https://www.ebay.com/itm/165483891163,35.49,0.0,7,11days,Edmondson Supply,false,[]
sheva55,https://www.ebay.com/itm/165495687887,32.5,0.0,9,11days,Edmondson Supply,false,[]
sheva56,https://www.ebay.com/itm/165544594627,0,0,0,0days,{listing off},false,[]
sheva57,https://www.ebay.com/itm/165606349781,32.99,0.0,3,11days,Edmondson Supply,false,[]
sheva58,https://www.ebay.com/itm/165627748738,19.99,0.0,4,11days,Edmondson Supply,false,[]
sheva59,https://www.ebay.com/itm/165648835972,20.69,0.0,5,11days,Edmondson Supply,false,[]
sheva60,https://www.ebay.com/itm/385730766798,13.45,0.0,13,10days,MIA2016.SHOP,false,[]
sheva61,https://www.ebay.com/itm/165724965623,22.99,0.0,4,11days,Edmondson Supply,false,[]
sheva62,https://www.ebay.com/itm/165731061808,10.99,0.0,4,11days,Edmondson Supply,false,[]
sheva63,https://www.ebay.com/itm/144717215659,19.36,0.0,15,9days,JB Tool Sales,false,[]
sheva64,https://www.ebay.com/itm/165743280799,14.49,0.0,1,11days,Edmondson Supply,false,[]
sheva65,https://www.ebay.com/itm/173883575918,8.95,0.0,5,11days,Edmondson Supply,false,[]
sheva66,https://www.ebay.com/itm/400721051014,79.99,0.0,38,7days,JB Tool Sales,false,[]
sheva67,https://www.ebay.com/itm/394537775066,0,0,0,0days,{listing off},false,[]
sheva68,https://www.ebay.com/itm/143368972255,30.78,0.0,5,7days,JB Tool Sales,false,[]
sheva69,https://www.ebay.com/itm/144717197081,46.06,0.0,2,7days,JB Tool Sales,false,[]
sheva70,https://www.ebay.com/itm/175454944069,13.29,0.0,4,11days,Edmondson Supply,false,[]
sheva71,https://www.ebay.com/itm/175466874014,89.99,0.0,3,35days,AFK Electronics,false,[]
sheva72,https://www.ebay.com/itm/193076515838,19.47,0.0,6,9days,JB Tool Sales,false,[]
sheva73,https://www.ebay.com/itm/193076533679,37.18,0.0,3,7days,JB Tool Sales,false,[]
sheva74,https://www.ebay.com/itm/193076535094,0,0,0,0days,{listing off},false,[]
sheva75,https://www.ebay.com/itm/193076536548,36.34,0.0,6,9days,JB Tool Sales,false,[]
sheva76,https://www.ebay.com/itm/194158014794,0,0,0,0days,{listing off},false,[]
sheva77,https://www.ebay.com/itm/194158027208,79.97,0.0,4,7days,JB Tool Sales,false,[]
sheva78,https://www.ebay.com/itm/194158034223,75.54,0.0,6,9days,JB Tool Sales,false,[]
sheva79,https://www.ebay.com/itm/195349041920,79.99,0.0,3,9days,JB Tool Sales,false,[]
sheva80,https://www.ebay.com/itm/195349076034,25.65,0.0,6,9days,JB Tool Sales,false,[]
sheva81,https://www.ebay.com/itm/195349086014,119.99,0.0,4,9days,JB Tool Sales,false,[]
sheva82,https://www.ebay.com/itm/193076549691,74.99,0.0,51,9days,JB Tool Sales,false,[]
sheva83,https://www.ebay.com/itm/193076517721,22.43,0.0,6,9days,JB Tool Sales,false,[]
sheva84,https://www.ebay.com/itm/404268831742,21.13,0.0,5,10days,JB Tool Sales,false,[]
sheva85,https://www.ebay.com/itm/191201783269,10.99,0.0,29,10days,JB Tool Sales,false,[]
sheva86,https://www.ebay.com/itm/224683439971,55.59,5.0,78,6days,Zoro Tools,false,[]
sheva87,https://www.ebay.com/itm/224702510380,26.95,5.0,100,6days,Zoro Tools,false,[]
sheva88,https://www.ebay.com/itm/134065993634,12.49,4.49,96,11days,goodplace2shop,false,[]
sheva89,https://www.ebay.com/itm/165639582454,19.99,0.0,6,11days,Edmondson Supply,false,[]
sheva90,https://www.ebay.com/itm/131422245148,12.95,3.59,49,11days,goodplace2shop,false,[]
sheva91,https://www.ebay.com/itm/231320984960,44.99,6.7,5,7days,Lewis Contractor Sales,false,[]
sheva92,https://www.ebay.com/itm/225172796760,72.99,5.0,100,6days,Zoro Tools,false,[]
sheva93,https://www.ebay.com/itm/155795977076,0,0,0,0days,{listing off},false,[]
sheva94,https://www.ebay.com/itm/175176687308,21.99,0.0,3,11days,Edmondson Supply,false,[]
sheva95,https://www.ebay.com/itm/155617151270,0,0,0,0days,{listing off},false,[]
sheva96,https://www.ebay.com/itm/166304125460,0,0,0,0days,{listing off},false,[]
sheva97,https://www.ebay.com/itm/232024159831,52.99,8.45,4,7days,Lewis Contractor Sales,false,[]
sheva98,https://www.ebay.com/itm/233902663530,41.97,8.45,4,7days,Lewis Contractor Sales,false,[]
sheva99,https://www.ebay.com/itm/234246843606,19.99,5.25,15,7days,Lewis Contractor Sales,false,[]
sheva100,https://www.ebay.com/itm/143368980529,54.69,0.0,7,7days,JB Tool Sales,false,[]
sheva101,https://www.ebay.com/itm/155743766272,0,0,0,0days,{listing off},false,[]
sheva102,https://www.ebay.com/itm/275172025419,43.99,6.49,143,10days,Acme Tools,false,[]
sheva103,https://www.ebay.com/itm/284657917513,49.99,6.49,323,10days,Acme Tools,false,[]
sheva104,https://www.ebay.com/itm/291232115328,44.99,8.45,2,7days,Lewis Contractor Sales,false,[]
sheva105,https://www.ebay.com/itm/291824834854,36.99,5.9,3,7days,Lewis Contractor Sales,false,[]
sheva106,https://www.ebay.com/itm/291947754318,39.99,10.8,8,7days,Lewis Contractor Sales,false,[]
sheva107,https://www.ebay.com/itm/292226026864,26.99,5.9,5,7days,Lewis Contractor Sales,false,[]
sheva108,https://www.ebay.com/itm/295466893474,52.99,6.49,1,10days,Acme Tools,false,[]
sheva109,https://www.ebay.com/itm/295466894839,89.99,6.49,10,10days,Acme Tools,false,[]
sheva110,https://www.ebay.com/itm/144052136803,64.63,0.0,4,9days,JB Tool Sales,false,[]
sheva111,https://www.ebay.com/itm/144717220554,23.65,0.0,29,9days,JB Tool Sales,false,[]
sheva112,https://www.ebay.com/itm/152665204182,42.95,0.0,4,11days,Edmondson Supply,false,[]
sheva113,https://www.ebay.com/itm/173759744587,41.49,0.0,3,11days,Edmondson Supply,false,[]
sheva114,https://www.ebay.com/itm/173759744587,41.49,0.0,3,11days,Edmondson Supply,false,[]
