sku	price	quantity	handling-time	merchant_shipping_group_name
angels71452		0	4	2-4
angels71453		0	4	2-4
angels71454		109	4	2-4
angels71455		4	4	2-4
angels71456	20.26	4	4	2-4
angels71457		0	4	2-4
angels71458	203.29	109	4	3-5
angels71459	129.59	109	4	3-5
angels71460		109	4	2-4
angels71461		0	4	2-4
angels71462	42.02	109	4	2-4
angels71463		109	4	2-4
angels71464		3	4	2-4
angels71465		0	4	2-4
angels71466		0	4	2-4
angels71467		0	4	2-4
angels71468		5	4	2-4
angels71469		109	4	2-4
angels71470		0	4	2-4
angels71471		0	4	2-4
angels71472	133.41	109	2	1-3
angels71473		0	4	2-4
angels71474		0	4	2-4
angels71475		0	4	2-4
angels71476	127.17	109	4	2-4
angels71477		0	4	2-4
angels71478		0	4	2-4
angels71479	133.41	109	2	1-3
angels71480	133.41	109	2	1-3
angels71481	133.41	109	2	1-3
angels71482	133.41	109	2	2-4
angels71483	133.41	109	2	1-3
angels71484		109	2	3-5
angels71485	133.41	109	2	1-3
angels71486	7.62	1	2	1-3
angels71487	53.36	109	2	1-3
angels71488		0	4	2-4
angels71489	133.41	109	2	1-3
angels71490	85.13	109	2	1-3
angels71491	133.41	109	2	1-3
angels71492	133.41	109	2	1-3
angels71493	133.41	109	2	2-4
angels71494	118.16	109	2	1-3
angels71495	71.15	109	2	1-3
angels71496	133.41	109	2	1-3
angels71497		0	4	2-4
angels71498		0	4	2-4
angels71499	78.78	109	2	2-4
angels71500	78.78	109	2	2-4
angels71501	22.87	109	2	1-3
angels71502	64.8	109	2	1-3
angels71503	133.41	109	2	1-3
angels71504	133.41	109	2	1-3
angels71505	133.41	109	2	1-3
angels71506	133.41	109	2	1-3
angels71507	133.41	109	2	1-3
angels71508	133.41	109	2	1-3
angels71509		0	4	2-4
angels71510	133.41	109	2	1-3
angels71511	133.41	109	2	1-3
angels71512	133.41	109	2	1-3
angels71513	133.41	109	2	1-3
angels71514	133.41	109	2	1-3
angels71515	121.98	109	2	1-3
angels71516		0	4	2-4
angels71517		0	4	2-4
angels71518		0	4	2-4
angels71519	110.54	109	2	1-3
angels71520		0	4	2-4
